,sex,age,race,wab_days,wab_aq,wab_type
sex,1.0,-0.009478751386159463,0.08595855413473497,0.11162811687328959,-0.19040171351776303,0.12001089563131265
age,-0.009478751386159463,1.0,0.1668304432703665,-0.26531043487438666,0.008078926779167129,0.05564354897170197
race,0.08595855413473497,0.1668304432703665,1.0,-0.040452421234286225,0.028027858806658222,0.01041319058701272
wab_days,0.11162811687328959,-0.26531043487438666,-0.040452421234286225,1.0,-0.07979509501824739,0.0012377429757096108
wab_aq,-0.19040171351776303,0.008078926779167129,0.028027858806658222,-0.07979509501824739,1.0,-0.49649908663004955
wab_type,0.12001089563131265,0.05564354897170197,0.01041319058701272,0.0012377429757096108,-0.49649908663004955,1.0
