file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/strokeDataset\sub-1239\dwi\sub-1239_rec-ADC_dwi.nii.gz,"(384, 384, 26, 1)",float64,"(np.float32(0.59895813), np.float32(0.5989583), np.float32(6.000001), np.float32(0.0))",3833856,1.5237741470336914,"(384, 384, 26)",float64,"(np.float32(0.59895813), np.float32(0.5989583), np.float32(6.000001))",3833856,1.5237712860107422
D:/strokeDataset\sub-1239\dwi\sub-1239_rec-TRACE_dwi.nii.gz,"(384, 384, 26, 1)",float64,"(np.float32(0.59895813), np.float32(0.5989583), np.float32(6.000001), np.float32(0.0))",3833856,1.5297355651855469,"(384, 384, 26)",float64,"(np.float32(0.59895813), np.float32(0.5989583), np.float32(6.000001))",3833856,1.7356348037719727
D:/strokeDataset\sub-124\anat\sub-124_FLAIR.nii.gz,"(184, 320, 320)",float64,"(np.float32(0.9000046), np.float32(0.7812501), np.float32(0.78125))",18841600,6.263976097106934,"(184, 320, 320)",float64,"(np.float32(0.9000046), np.float32(0.7812501), np.float32(0.78125))",18841600,6.263976097106934
D:/strokeDataset\sub-124\anat\sub-124_T1w.nii.gz,"(160, 288, 288)",float64,"(np.float32(0.999993), np.float32(0.8680556), np.float32(0.8680556))",13271040,5.809627532958984,"(160, 288, 288)",float64,"(np.float32(0.999993), np.float32(0.8680556), np.float32(0.8680556))",13271040,5.809627532958984
D:/strokeDataset\sub-124\dwi\sub-124_rec-ADC_dwi.nii.gz,"(240, 240, 24, 1)",float64,"(np.float32(1.0416669), np.float32(1.0416665), np.float32(6.0000033), np.float32(0.0))",1382400,0.5820751190185547,"(240, 240, 24)",float64,"(np.float32(1.0416669), np.float32(1.0416665), np.float32(6.0000033))",1382400,0.5820732116699219
D:/strokeDataset\sub-124\dwi\sub-124_rec-TRACE_dwi.nii.gz,"(240, 240, 24, 1)",float64,"(np.float32(1.0416669), np.float32(1.0416665), np.float32(6.0000033), np.float32(0.0))",1382400,0.5535745620727539,"(240, 240, 24)",float64,"(np.float32(1.0416669), np.float32(1.0416665), np.float32(6.0000033))",1382400,0.5968618392944336
D:/strokeDataset\sub-1240\anat\sub-1240_FLAIR.nii.gz,"(200, 512, 512)",float64,"(np.float32(0.89999264), np.float32(0.48924735), np.float32(0.4892473))",52428800,14.93455982208252,"(200, 512, 512)",float64,"(np.float32(0.89999264), np.float32(0.48924735), np.float32(0.4892473))",52428800,14.93455982208252
D:/strokeDataset\sub-1240\anat\sub-1240_T1w.nii.gz,"(370, 528, 528)",float64,"(np.float32(0.50000244), np.float32(0.4748944), np.float32(0.47489437))",103150080,29.24970245361328,"(370, 528, 528)",float64,"(np.float32(0.50000244), np.float32(0.4748944), np.float32(0.47489437))",103150080,29.24970245361328
D:/strokeDataset\sub-1240\dwi\sub-1240_rec-ADC_dwi.nii.gz,"(224, 224, 25, 1)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995), np.float32(0.0))",1254400,0.6756458282470703,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995))",1254400,0.6756448745727539
D:/strokeDataset\sub-1240\dwi\sub-1240_rec-TRACE_dwi.nii.gz,"(224, 224, 25, 1)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995), np.float32(0.0))",1254400,0.45634937286376953,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995))",1254400,0.5238056182861328
D:/strokeDataset\sub-1241\anat\sub-1241_FLAIR.nii.gz,"(256, 256, 31)",float64,"(np.float32(0.7031251), np.float32(0.703125), np.float32(5.9999948))",2031616,1.6259641647338867,"(256, 256, 31)",float64,"(np.float32(0.7031251), np.float32(0.703125), np.float32(5.9999948))",2031616,1.6259641647338867
D:/strokeDataset\sub-1241\anat\sub-1241_T1w.nii.gz,"(416, 512, 25)",float64,"(np.float32(0.4492187), np.float32(0.44921878), np.float32(6.0000033))",5324800,3.5803937911987305,"(416, 512, 25)",float64,"(np.float32(0.4492187), np.float32(0.44921878), np.float32(6.0000033))",5324800,3.5803937911987305
D:/strokeDataset\sub-1241\dwi\sub-1241_rec-ADC_dwi.nii.gz,"(256, 256, 25, 1)",float64,"(np.float32(0.8984377), np.float32(0.89843744), np.float32(6.0000033), np.float32(0.0))",1638400,0.9126415252685547,"(256, 256, 25)",float64,"(np.float32(0.8984377), np.float32(0.89843744), np.float32(6.0000033))",1638400,0.9126405715942383
D:/strokeDataset\sub-1241\dwi\sub-1241_rec-TRACE_dwi.nii.gz,"(256, 256, 25, 1)",float64,"(np.float32(0.8984377), np.float32(0.89843744), np.float32(6.0000033), np.float32(0.0))",1638400,0.6380376815795898,"(256, 256, 25)",float64,"(np.float32(0.8984377), np.float32(0.89843744), np.float32(6.0000033))",1638400,0.6380367279052734
D:/strokeDataset\sub-1242\anat\sub-1242_FLAIR.nii.gz,"(400, 400, 30)",float64,"(np.float32(0.57499987), np.float32(0.5749999), np.float32(6.000006))",4800000,1.930201530456543,"(400, 400, 30)",float64,"(np.float32(0.57499987), np.float32(0.5749999), np.float32(6.000006))",4800000,1.930201530456543
D:/strokeDataset\sub-1242\anat\sub-1242_T1w.nii.gz,"(512, 512, 27)",float64,"(np.float32(0.48828125), np.float32(0.48828125), np.float32(6.0000024))",7077888,3.3379526138305664,"(512, 512, 27)",float64,"(np.float32(0.48828125), np.float32(0.48828125), np.float32(6.0000024))",7077888,3.3379526138305664
D:/strokeDataset\sub-1242\dwi\sub-1242_rec-ADC_dwi.nii.gz,"(432, 432, 25, 1)",float64,"(np.float32(0.5787037), np.float32(0.57870364), np.float32(6.000001), np.float32(0.0))",4665600,1.5509471893310547,"(432, 432, 25)",float64,"(np.float32(0.5787037), np.float32(0.57870364), np.float32(6.000001))",4665600,1.5509452819824219
D:/strokeDataset\sub-1242\dwi\sub-1242_rec-TRACE_dwi.nii.gz,"(432, 432, 25, 1)",float64,"(np.float32(0.5787037), np.float32(0.57870364), np.float32(6.000001), np.float32(0.0))",4665600,1.4098396301269531,"(432, 432, 25)",float64,"(np.float32(0.5787037), np.float32(0.57870364), np.float32(6.000001))",4665600,1.6090154647827148
D:/strokeDataset\sub-1243\anat\sub-1243_FLAIR.nii.gz,"(336, 221, 336)",float64,"(np.float32(0.60267663), np.float32(1.0000001), np.float32(0.6026765))",24950016,4.895059585571289,"(336, 221, 336)",float64,"(np.float32(0.60267663), np.float32(1.0000001), np.float32(0.6026765))",24950016,4.895059585571289
D:/strokeDataset\sub-1243\anat\sub-1243_T1w.nii.gz,"(384, 384, 26)",float64,"(np.float32(0.5989582), np.float32(0.5989583), np.float32(5.999999))",3833856,1.9125919342041016,"(384, 384, 26)",float64,"(np.float32(0.5989582), np.float32(0.5989583), np.float32(5.999999))",3833856,1.9125919342041016
D:/strokeDataset\sub-1243\dwi\sub-1243_rec-ADC_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984375), np.float32(0.89843744), np.float32(6.000006), np.float32(0.0))",1703936,0.5086517333984375,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.89843744), np.float32(6.000006))",1703936,0.5086498260498047
D:/strokeDataset\sub-1243\dwi\sub-1243_rec-TRACE_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984375), np.float32(0.89843744), np.float32(6.000006), np.float32(0.0))",1703936,0.5411376953125,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.89843744), np.float32(6.000006))",1703936,0.5874786376953125
D:/strokeDataset\sub-1244\anat\sub-1244_FLAIR.nii.gz,"(200, 512, 512)",float64,"(np.float32(0.90000015), np.float32(0.48924735), np.float32(0.4892474))",52428800,15.97916030883789,"(200, 512, 512)",float64,"(np.float32(0.90000015), np.float32(0.48924735), np.float32(0.4892474))",52428800,15.97916030883789
D:/strokeDataset\sub-1244\anat\sub-1244_T1w.nii.gz,"(370, 512, 512)",float64,"(np.float32(0.50001067), np.float32(0.48387098), np.float32(0.48387095))",96993280,32.969173431396484,"(370, 512, 512)",float64,"(np.float32(0.50001067), np.float32(0.48387098), np.float32(0.48387095))",96993280,32.969173431396484
D:/strokeDataset\sub-1244\dwi\sub-1244_rec-ADC_dwi.nii.gz,"(288, 288, 25, 1)",float64,"(np.float32(0.9328357), np.float32(0.93283576), np.float32(5.9999995), np.float32(0.0))",2073600,0.9755125045776367,"(288, 288, 25)",float64,"(np.float32(0.9328357), np.float32(0.93283576), np.float32(5.9999995))",2073600,0.9755125045776367
D:/strokeDataset\sub-1244\dwi\sub-1244_rec-TRACE_dwi.nii.gz,"(288, 288, 25, 1)",float64,"(np.float32(0.9328357), np.float32(0.93283576), np.float32(5.9999995), np.float32(0.0))",2073600,0.6718301773071289,"(288, 288, 25)",float64,"(np.float32(0.9328357), np.float32(0.93283576), np.float32(5.9999995))",2073600,0.7755947113037109
D:/strokeDataset\sub-1245\anat\sub-1245_FLAIR.nii.gz,"(336, 221, 336)",float64,"(np.float32(0.6026766), np.float32(0.9999998), np.float32(0.60267645))",24950016,6.824699401855469,"(336, 221, 336)",float64,"(np.float32(0.6026766), np.float32(0.9999998), np.float32(0.60267645))",24950016,6.824699401855469
D:/strokeDataset\sub-1245\anat\sub-1245_T1w.nii.gz,"(180, 288, 288)",float64,"(np.float32(1.0000018), np.float32(0.9236111), np.float32(0.9236111))",14929920,4.13028621673584,"(180, 288, 288)",float64,"(np.float32(1.0000018), np.float32(0.9236111), np.float32(0.9236111))",14929920,4.13028621673584
